specObjID,ra,dec,z,class,x,y,z_cart
2571596406246631424,136.34145,21.622752,0.01021532,GALAXY,-30.36902010308333,28.97926150394495,16.63918547564388
1470489375153350656,147.33259,9.9204729,0.01021986,GALAXY,-37.460188180888565,24.01893506059414,7.782731853846102
950414592410937344,184.82324,5.8758661,0.01022011,GALAXY,-44.77923145947076,-3.778508930249181,4.624798262670437
3132259390313228288,235.06595,14.80835,0.01022073,GALAXY,-25.011415344032486,-35.807655111212554,11.547009325371596
8599829764017248256,26.711885,24.466569,0.01022169,GALAXY,36.73643883839475,18.486052800545192,18.71296137728442
887258094084581376,212.64965,59.357994,0.01022186,GALAXY,-19.389863563629987,-12.424022705115332,38.8744080763039
1481789052695898112,186.64552,57.830782,0.01022303,GALAXY,-23.89773101492295,-2.7843038896201215,38.25121061353165
7314004231278843904,204.18954,32.091111,0.01022351,GALAXY,-34.924082474218345,-15.687842076519562,24.008339877405376
1450191286547015680,218.86307,44.950219,0.01022574,GALAXY,-24.908449647206794,-20.07209119954848,31.93382949032338
2241804211291449344,178.10029,32.403879,0.01022762,GALAXY,-38.14846248433898,1.265321539625621,24.226688864668432
2374554297795897344,204.23982,32.03568,0.0102291,GALAXY,-34.95051884473804,-15.736591425102736,23.984364455133253
427988229711489024,345.36013,0.86518885,0.01023358,GALAXY,43.76150132864313,-11.431541350254733,0.6830421131066834
1379388235762919424,176.55146,10.595534,0.01023465,GALAXY,-44.38795811153582,2.674869985618944,8.318462415340626
2505265069118482432,180.51312,29.847986,0.01023508,GALAXY,-39.238792399280484,-0.3514176370658577,22.516834022607636
2241829225180981248,179.22599,32.158806,0.01023559,GALAXY,-38.29897497092874,0.5174132068561124,24.08191088760011
1306189072334612480,214.34196,57.629851,0.01023666,GALAXY,-20.002687866152375,-13.6663845970805,38.21736535473389
3134547198075758592,210.20442,22.763647,0.01023821,GALAXY,-36.06502277208199,-20.99406928220574,17.510750459943488
559677565309052928,204.01093,66.302537,0.01023845,GALAXY,-16.615021968887582,-7.40128256298749,41.44057245740446
4735647799911405568,342.52645,-1.0492375,0.01024059,GALAXY,43.170016856933024,-13.589547022160712,-0.8288945359241676
